,Page,page_link,vote_link
2,7.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=7,https://congresovisible.uniandes.edu.co/votaciones/14270/
3,7.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=7,https://congresovisible.uniandes.edu.co/votaciones/14266/
4,7.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=7,https://congresovisible.uniandes.edu.co/votaciones/14261/
0,8.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=8,https://congresovisible.uniandes.edu.co/votaciones/14262/
1,8.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=8,https://congresovisible.uniandes.edu.co/votaciones/14263/
2,8.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=8,https://congresovisible.uniandes.edu.co/votaciones/14264/
3,8.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=8,https://congresovisible.uniandes.edu.co/votaciones/14265/
4,8.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=8,https://congresovisible.uniandes.edu.co/votaciones/14267/
0,9.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=9,https://congresovisible.uniandes.edu.co/votaciones/14268/
1,9.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=9,https://congresovisible.uniandes.edu.co/votaciones/14271/
2,9.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=9,https://congresovisible.uniandes.edu.co/votaciones/14382/
3,9.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=9,https://congresovisible.uniandes.edu.co/votaciones/14384/
4,9.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=9,https://congresovisible.uniandes.edu.co/votaciones/14385/
0,10.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=10,https://congresovisible.uniandes.edu.co/votaciones/14387/
1,10.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=10,https://congresovisible.uniandes.edu.co/votaciones/14383/
2,10.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=10,https://congresovisible.uniandes.edu.co/votaciones/14386/
3,10.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=10,https://congresovisible.uniandes.edu.co/votaciones/14388/
4,10.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=10,https://congresovisible.uniandes.edu.co/votaciones/14380/
0,11.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=11,https://congresovisible.uniandes.edu.co/votaciones/14381/
1,11.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=11,https://congresovisible.uniandes.edu.co/votaciones/13918/
2,11.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=11,https://congresovisible.uniandes.edu.co/votaciones/13919/
3,11.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=11,https://congresovisible.uniandes.edu.co/votaciones/13899/
4,11.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=11,https://congresovisible.uniandes.edu.co/votaciones/13901/
0,12.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=12,https://congresovisible.uniandes.edu.co/votaciones/13902/
1,12.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=12,https://congresovisible.uniandes.edu.co/votaciones/13903/
2,12.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=12,https://congresovisible.uniandes.edu.co/votaciones/13904/
3,12.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=12,https://congresovisible.uniandes.edu.co/votaciones/13920/
4,12.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=12,https://congresovisible.uniandes.edu.co/votaciones/13921/
0,13.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=13,https://congresovisible.uniandes.edu.co/votaciones/13922/
1,13.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=13,https://congresovisible.uniandes.edu.co/votaciones/13923/
2,13.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=13,https://congresovisible.uniandes.edu.co/votaciones/13924/
3,13.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=13,https://congresovisible.uniandes.edu.co/votaciones/13925/
4,13.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=13,https://congresovisible.uniandes.edu.co/votaciones/13873/
0,14.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=14,https://congresovisible.uniandes.edu.co/votaciones/13875/
1,14.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=14,https://congresovisible.uniandes.edu.co/votaciones/13887/
2,14.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=14,https://congresovisible.uniandes.edu.co/votaciones/13889/
3,14.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=14,https://congresovisible.uniandes.edu.co/votaciones/13877/
4,14.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=14,https://congresovisible.uniandes.edu.co/votaciones/13878/
0,15.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=15,https://congresovisible.uniandes.edu.co/votaciones/13879/
1,15.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=15,https://congresovisible.uniandes.edu.co/votaciones/13880/
2,15.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=15,https://congresovisible.uniandes.edu.co/votaciones/13881/
3,15.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=15,https://congresovisible.uniandes.edu.co/votaciones/13882/
4,15.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=15,https://congresovisible.uniandes.edu.co/votaciones/13883/
0,16.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=16,https://congresovisible.uniandes.edu.co/votaciones/13884/
1,16.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=16,https://congresovisible.uniandes.edu.co/votaciones/13885/
2,16.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=16,https://congresovisible.uniandes.edu.co/votaciones/13886/
3,16.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=16,https://congresovisible.uniandes.edu.co/votaciones/13888/
4,16.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=16,https://congresovisible.uniandes.edu.co/votaciones/13914/
0,17.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=17,https://congresovisible.uniandes.edu.co/votaciones/13915/
1,17.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=17,https://congresovisible.uniandes.edu.co/votaciones/13916/
2,17.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=17,https://congresovisible.uniandes.edu.co/votaciones/13917/
3,17.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=17,https://congresovisible.uniandes.edu.co/votaciones/13863/
4,17.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=17,https://congresovisible.uniandes.edu.co/votaciones/13865/
0,18.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=18,https://congresovisible.uniandes.edu.co/votaciones/13909/
1,18.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=18,https://congresovisible.uniandes.edu.co/votaciones/13910/
2,18.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=18,https://congresovisible.uniandes.edu.co/votaciones/13911/
3,18.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=18,https://congresovisible.uniandes.edu.co/votaciones/13912/
4,18.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=18,https://congresovisible.uniandes.edu.co/votaciones/13908/
0,19.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=19,https://congresovisible.uniandes.edu.co/votaciones/13913/
1,19.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=19,https://congresovisible.uniandes.edu.co/votaciones/13896/
2,19.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=19,https://congresovisible.uniandes.edu.co/votaciones/13897/
3,19.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=19,https://congresovisible.uniandes.edu.co/votaciones/13898/
4,19.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=19,https://congresovisible.uniandes.edu.co/votaciones/13890/
0,20.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=20,https://congresovisible.uniandes.edu.co/votaciones/13891/
1,20.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=20,https://congresovisible.uniandes.edu.co/votaciones/13892/
2,20.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=20,https://congresovisible.uniandes.edu.co/votaciones/13893/
3,20.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=20,https://congresovisible.uniandes.edu.co/votaciones/13894/
4,20.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=20,https://congresovisible.uniandes.edu.co/votaciones/13895/
0,21.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=21,https://congresovisible.uniandes.edu.co/votaciones/13818/
1,21.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=21,https://congresovisible.uniandes.edu.co/votaciones/13819/
2,21.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=21,https://congresovisible.uniandes.edu.co/votaciones/13820/
3,21.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=21,https://congresovisible.uniandes.edu.co/votaciones/13821/
4,21.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=21,https://congresovisible.uniandes.edu.co/votaciones/13858/
0,22.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=22,https://congresovisible.uniandes.edu.co/votaciones/13859/
1,22.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=22,https://congresovisible.uniandes.edu.co/votaciones/13860/
2,22.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=22,https://congresovisible.uniandes.edu.co/votaciones/13861/
3,22.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=22,https://congresovisible.uniandes.edu.co/votaciones/13862/
4,22.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=22,https://congresovisible.uniandes.edu.co/votaciones/13857/
0,23.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=23,https://congresovisible.uniandes.edu.co/votaciones/13834/
1,23.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=23,https://congresovisible.uniandes.edu.co/votaciones/13835/
2,23.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=23,https://congresovisible.uniandes.edu.co/votaciones/13836/
3,23.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=23,https://congresovisible.uniandes.edu.co/votaciones/13837/
4,23.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=23,https://congresovisible.uniandes.edu.co/votaciones/13838/
0,24.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=24,https://congresovisible.uniandes.edu.co/votaciones/13839/
1,24.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=24,https://congresovisible.uniandes.edu.co/votaciones/13840/
2,24.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=24,https://congresovisible.uniandes.edu.co/votaciones/13841/
3,24.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=24,https://congresovisible.uniandes.edu.co/votaciones/13842/
4,24.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=24,https://congresovisible.uniandes.edu.co/votaciones/13843/
0,25.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=25,https://congresovisible.uniandes.edu.co/votaciones/13844/
1,25.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=25,https://congresovisible.uniandes.edu.co/votaciones/13845/
2,25.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=25,https://congresovisible.uniandes.edu.co/votaciones/13846/
3,25.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=25,https://congresovisible.uniandes.edu.co/votaciones/13848/
4,25.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=25,https://congresovisible.uniandes.edu.co/votaciones/13849/
0,26.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=26,https://congresovisible.uniandes.edu.co/votaciones/13850/
1,26.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=26,https://congresovisible.uniandes.edu.co/votaciones/13851/
2,26.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=26,https://congresovisible.uniandes.edu.co/votaciones/13852/
3,26.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=26,https://congresovisible.uniandes.edu.co/votaciones/13853/
4,26.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=26,https://congresovisible.uniandes.edu.co/votaciones/13854/
0,27.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=27,https://congresovisible.uniandes.edu.co/votaciones/13856/
1,27.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=27,https://congresovisible.uniandes.edu.co/votaciones/13832/
2,27.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=27,https://congresovisible.uniandes.edu.co/votaciones/13833/
3,27.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=27,https://congresovisible.uniandes.edu.co/votaciones/13847/
4,27.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=27,https://congresovisible.uniandes.edu.co/votaciones/13855/
0,28.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=28,https://congresovisible.uniandes.edu.co/votaciones/13815/
1,28.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=28,https://congresovisible.uniandes.edu.co/votaciones/13822/
2,28.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=28,https://congresovisible.uniandes.edu.co/votaciones/13823/
3,28.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=28,https://congresovisible.uniandes.edu.co/votaciones/13824/
4,28.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=28,https://congresovisible.uniandes.edu.co/votaciones/13825/
0,29.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=29,https://congresovisible.uniandes.edu.co/votaciones/13826/
1,29.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=29,https://congresovisible.uniandes.edu.co/votaciones/13827/
2,29.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=29,https://congresovisible.uniandes.edu.co/votaciones/13828/
3,29.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=29,https://congresovisible.uniandes.edu.co/votaciones/13829/
4,29.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=29,https://congresovisible.uniandes.edu.co/votaciones/13830/
0,30.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=30,https://congresovisible.uniandes.edu.co/votaciones/13831/
1,30.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=30,https://congresovisible.uniandes.edu.co/votaciones/14358/
2,30.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=30,https://congresovisible.uniandes.edu.co/votaciones/13814/
3,30.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=30,https://congresovisible.uniandes.edu.co/votaciones/13813/
4,30.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=30,https://congresovisible.uniandes.edu.co/votaciones/14357/
0,31.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=31,https://congresovisible.uniandes.edu.co/votaciones/13783/
1,31.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=31,https://congresovisible.uniandes.edu.co/votaciones/13784/
2,31.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=31,https://congresovisible.uniandes.edu.co/votaciones/13785/
3,31.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=31,https://congresovisible.uniandes.edu.co/votaciones/13816/
4,31.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=31,https://congresovisible.uniandes.edu.co/votaciones/13817/
0,32.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=32,https://congresovisible.uniandes.edu.co/votaciones/13771/
1,32.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=32,https://congresovisible.uniandes.edu.co/votaciones/13772/
2,32.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=32,https://congresovisible.uniandes.edu.co/votaciones/14311/
3,32.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=32,https://congresovisible.uniandes.edu.co/votaciones/14312/
4,32.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=32,https://congresovisible.uniandes.edu.co/votaciones/13788/
0,33.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=33,https://congresovisible.uniandes.edu.co/votaciones/13786/
1,33.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=33,https://congresovisible.uniandes.edu.co/votaciones/13787/
2,33.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=33,https://congresovisible.uniandes.edu.co/votaciones/13789/
3,33.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=33,https://congresovisible.uniandes.edu.co/votaciones/13811/
4,33.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=33,https://congresovisible.uniandes.edu.co/votaciones/13812/
0,34.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=34,https://congresovisible.uniandes.edu.co/votaciones/14355/
1,34.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=34,https://congresovisible.uniandes.edu.co/votaciones/14356/
2,34.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=34,https://congresovisible.uniandes.edu.co/votaciones/13796/
3,34.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=34,https://congresovisible.uniandes.edu.co/votaciones/13795/
4,34.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=34,https://congresovisible.uniandes.edu.co/votaciones/13806/
0,35.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=35,https://congresovisible.uniandes.edu.co/votaciones/13807/
1,35.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=35,https://congresovisible.uniandes.edu.co/votaciones/13808/
2,35.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=35,https://congresovisible.uniandes.edu.co/votaciones/14243/
3,35.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=35,https://congresovisible.uniandes.edu.co/votaciones/14240/
4,35.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=35,https://congresovisible.uniandes.edu.co/votaciones/14241/
0,36.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=36,https://congresovisible.uniandes.edu.co/votaciones/13770/
1,36.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=36,https://congresovisible.uniandes.edu.co/votaciones/14225/
2,36.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=36,https://congresovisible.uniandes.edu.co/votaciones/14224/
3,36.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=36,https://congresovisible.uniandes.edu.co/votaciones/14222/
4,36.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=36,https://congresovisible.uniandes.edu.co/votaciones/14223/
0,37.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=37,https://congresovisible.uniandes.edu.co/votaciones/14221/
1,37.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=37,https://congresovisible.uniandes.edu.co/votaciones/14238/
2,37.0,https://congresovisible.uniandes.edu.co/votaciones/#q=cuatrienio--2014-2018&page=37,https://congresovisible.uniandes.edu.co/votaciones/14239/
